emotion,
angry,
angry,
fearful,
disgusted,
disgusted,
disgusted,
surprised,
neutral,
angry,
surprised,
neutral,
neutral,
disgusted,
disgusted,
angry,
angry,
fearful,
surprised,
neutral,
angry,
disgusted,
disgusted,
angry,
surprised,
neutral,
angry,
neutral,
fearful,
disgusted,
angry,
angry,
disgusted,
angry,
disgusted,
fearful,
fearful,
disgusted,
disgusted,
disgusted,
neutral,
angry,
neutral,
disgusted,
angry,
angry,
disgusted,
disgusted,
angry,
angry,
angry,
angry,
surprised,
angry,
disgusted,
neutral,
angry,
disgusted,
neutral,
fearful,
disgusted,
neutral,
disgusted,
neutral,
angry,
angry,
disgusted,
angry,
angry,
surprised,
disgusted,
disgusted,
disgusted,
neutral,
fearful,
surprised,
disgusted,
angry,
disgusted,
disgusted,
surprised,
disgusted,
angry,
disgusted,
disgusted,
angry,
neutral,
surprised,
disgusted,
neutral,
neutral,
surprised,
neutral,
sad,
disgusted,
angry,
neutral,
neutral,
angry,
angry,
disgusted,
angry,
surprised,
surprised,
disgusted,
disgusted,
surprised,
surprised,
angry,
disgusted,
disgusted,
angry,
disgusted,
disgusted,
angry,
surprised,
disgusted,
disgusted,
angry,
neutral,
surprised,
fearful,
angry,
surprised,
angry,
neutral,
angry,
angry,
fearful,
surprised,
neutral,
sad,
disgusted,
disgusted,
fearful,
neutral,
angry,
disgusted,
angry,
angry,
neutral,
disgusted,
fearful,
neutral,
fearful,
fearful,
surprised,
angry,
fearful,
angry,
disgusted,
neutral,
disgusted,
neutral,
disgusted,
disgusted,
fearful,
sad,
angry,
neutral,
surprised,
angry,
neutral,
fearful,
neutral,
disgusted,
neutral,
neutral,
angry,
disgusted,
neutral,
disgusted,
neutral,
disgusted,
angry,
disgusted,
disgusted,
surprised,
neutral,
disgusted,
angry,
angry,
surprised,
fearful,
disgusted,
neutral,
fearful,
surprised,
neutral,
neutral,
angry,
angry,
neutral,
sad,
sad,
angry,
disgusted,
fearful,
angry,
surprised,
angry,
angry,
disgusted,
neutral,
surprised,
fearful,
neutral,
fearful,
angry,
angry,
angry,
fearful,
disgusted,
disgusted,
surprised,
angry,
angry,
surprised,
angry,
neutral,
disgusted,
neutral,
disgusted,
disgusted,
angry,
disgusted,
surprised,
disgusted,
neutral,
neutral,
angry,
fearful,
fearful,
disgusted,
angry,
disgusted,
angry,
surprised,
disgusted,
angry,
fearful,
surprised,
surprised,
angry,
fearful,
disgusted,
surprised,
angry,
disgusted,
neutral,
angry,
disgusted,
fearful,
angry,
disgusted,
angry,
surprised,
disgusted,
disgusted,
fearful,
angry,
neutral,
disgusted,
disgusted,
surprised,
angry,
disgusted,
surprised,
disgusted,
neutral,
fearful,
disgusted,
surprised,
angry,
disgusted,
neutral,
neutral,
fearful,
angry,
fearful,
surprised,
fearful,
disgusted,
angry,
surprised,
disgusted,
surprised,
sad,
disgusted,
disgusted,
sad,
angry,
neutral,
angry,
neutral,
disgusted,
surprised,
angry,
surprised,
surprised,
fearful,
surprised,
angry,
angry,
disgusted,
neutral,
angry,
disgusted,
surprised,
disgusted,
disgusted,
neutral,
fearful,
angry,
neutral,
fearful,
neutral,
disgusted,
disgusted,
fearful,
disgusted,
disgusted,
disgusted,
angry,
neutral,
angry,
disgusted,
angry,
angry,
angry,
angry,
fearful,
disgusted,
angry,
fearful,
fearful,
neutral,
disgusted,
surprised,
angry,
disgusted,
disgusted,
disgusted,
surprised,
fearful,
neutral,
fearful,
surprised,
neutral,
angry,
disgusted,
sad,
surprised,
neutral,
surprised,
disgusted,
fearful,
disgusted,
angry,
angry,
neutral,
disgusted,
angry,
sad,
fearful,
neutral,
fearful,
surprised,
surprised,
disgusted,
surprised,
angry,
disgusted,
disgusted,
angry,
neutral,
angry,
neutral,
angry,
neutral,
fearful,
neutral,
angry,
surprised,
disgusted,
disgusted,
angry,
angry,
neutral,
fearful,
angry,
angry,
angry,
neutral,
angry,
neutral,
surprised,
disgusted,
disgusted,
fearful,
disgusted,
angry,
fearful,
surprised,
disgusted,
angry,
sad,
fearful,
angry,
surprised,
angry,
angry,
angry,
neutral,
disgusted,
fearful,
disgusted,
angry,
surprised,
disgusted,
neutral,
neutral,
angry,
fearful,
neutral,
angry,
neutral,
disgusted,
surprised,
disgusted,
disgusted,
angry,
angry,
angry,
surprised,
disgusted,
disgusted,
angry,
surprised,
angry,
disgusted,
neutral,
neutral,
angry,
neutral,
disgusted,
angry,
fearful,
neutral,
fearful,
fearful,
surprised,
disgusted,
sad,
surprised,
disgusted,
angry,
angry,
neutral,
fearful,
disgusted,
surprised,
angry,
angry,
angry,
neutral,
fearful,
surprised,
neutral,
disgusted,
sad,
disgusted,
neutral,
fearful,
angry,
neutral,
surprised,
disgusted,
disgusted,
fearful,
angry,
fearful,
disgusted,
fearful,
angry,
neutral,
angry,
disgusted,
angry,
neutral,
fearful,
disgusted,
disgusted,
surprised,
angry,
angry,
angry,
angry,
angry,
angry,
disgusted,
angry,
neutral,
disgusted,
sad,
angry,
fearful,
disgusted,
fearful,
angry,
neutral,
disgusted,
angry,
fearful,
surprised,
disgusted,
angry,
neutral,
disgusted,
fearful,
disgusted,
disgusted,
angry,
disgusted,
fearful,
angry,
neutral,
angry,
neutral,
angry,
neutral,
disgusted,
fearful,
neutral,
disgusted,
neutral,
angry,
disgusted,
fearful,
angry,
disgusted,
neutral,
angry,
neutral,
disgusted,
angry,
neutral,
angry,
neutral,
fearful,
angry,
angry,
disgusted,
disgusted,
surprised,
angry,
fearful,
angry,
fearful,
fearful,
neutral,
angry,
neutral,
neutral,
surprised,
fearful,
neutral,
fearful,
fearful,
neutral,
angry,
disgusted,
surprised,
fearful,
fearful,
fearful,
neutral,
neutral,
disgusted,
fearful,
neutral,
surprised,
angry,
fearful,
angry,
neutral,
neutral,
neutral,
angry,
surprised,
fearful,
angry,
angry,
neutral,
surprised,
neutral,
fearful,
fearful,
disgusted,
disgusted,
fearful,
sad,
angry,
disgusted,
angry,
angry,
disgusted,
neutral,
fearful,
disgusted,
neutral,
disgusted,
angry,
angry,
disgusted,
surprised,
disgusted,
fearful,
angry,
fearful,
neutral,
neutral,
fearful,
angry,
angry,
disgusted,
fearful,
fearful,
neutral,
angry,
fearful,
disgusted,
neutral,
angry,
disgusted,
disgusted,
angry,
surprised,
neutral,
disgusted,
neutral,
neutral,
disgusted,
angry,
angry,
disgusted,
neutral,
surprised,
angry,
fearful,
neutral,
surprised,
neutral,
angry,
angry,
sad,
fearful,
angry,
neutral,
fearful,
neutral,
neutral,
neutral,
angry,
disgusted,
angry,
disgusted,
disgusted,
angry,
neutral,
angry,
sad,
neutral,
surprised,
angry,
angry,
neutral,
surprised,
angry,
angry,
angry,
disgusted,
disgusted,
neutral,
surprised,
neutral,
disgusted,
angry,
neutral,
angry,
neutral,
disgusted,
disgusted,
disgusted,
angry,
surprised,
angry,
neutral,
surprised,
angry,
angry,
angry,
disgusted,
angry,
surprised,
neutral,
surprised,
fearful,
angry,
disgusted,
fearful,
disgusted,
angry,
disgusted,
disgusted,
neutral,
angry,
fearful,
disgusted,
angry,
angry,
disgusted,
surprised,
disgusted,
neutral,
angry,
sad,
disgusted,
surprised,
neutral,
angry,
angry,
angry,
angry,
disgusted,
angry,
angry,
surprised,
disgusted,
angry,
angry,
angry,
surprised,
angry,
disgusted,
angry,
neutral,
angry,
fearful,
surprised,
neutral,
surprised,
angry,
surprised,
neutral,
angry,
fearful,
surprised,
neutral,
angry,
fearful,
fearful,
neutral,
disgusted,
neutral,
neutral,
angry,
angry,
fearful,
neutral,
angry,
disgusted,
disgusted,
neutral,
disgusted,
angry,
angry,
surprised,
neutral,
angry,
angry,
angry,
disgusted,
disgusted,
angry,
disgusted,
angry,
disgusted,
angry,
neutral,
angry,
angry,
neutral,
angry,
neutral,
surprised,
neutral,
angry,
disgusted,
surprised,
surprised,
sad,
surprised,
angry,
fearful,
disgusted,
angry,
neutral,
angry,
surprised,
angry,
disgusted,
fearful,
fearful,
surprised,
fearful,
surprised,
neutral,
fearful,
angry,
disgusted,
sad,
fearful,
neutral,
neutral,
angry,
fearful,
fearful,
neutral,
angry,
neutral,
fearful,
neutral,
neutral,
angry,
disgusted,
angry,
angry,
disgusted,
neutral,
fearful,
disgusted,
neutral,
angry,
angry,
angry,
angry,
neutral,
disgusted,
disgusted,
neutral,
angry,
neutral,
fearful,
neutral,
disgusted,
disgusted,
disgusted,
neutral,
disgusted,
angry,
neutral,
disgusted,
disgusted,
disgusted,
angry,
angry,
surprised,
sad,
surprised,
neutral,
surprised,
disgusted,
angry,
disgusted,
angry,
fearful,
neutral,
angry,
fearful,
angry,
angry,
angry,
angry,
neutral,
disgusted,
fearful,
surprised,
angry,
disgusted,
disgusted,
disgusted,
disgusted,
surprised,
disgusted,
fearful,
surprised,
angry,
disgusted,
fearful,
disgusted,
disgusted,
fearful,
disgusted,
fearful,
surprised,
neutral,
disgusted,
fearful,
disgusted,
fearful,
disgusted,
disgusted,
disgusted,
surprised,
fearful,
angry,
disgusted,
fearful,
surprised,
angry,
neutral,
disgusted,
sad,
disgusted,
disgusted,
fearful,
neutral,
fearful,
angry,
disgusted,
angry,
angry,
disgusted,
angry,
surprised,
angry,
sad,
disgusted,
fearful,
surprised,
disgusted,
surprised,
disgusted,
disgusted,
disgusted,
angry,
disgusted,
neutral,
angry,
angry,
angry,
disgusted,
neutral,
angry,
angry,
disgusted,
fearful,
disgusted,
angry,
angry,
neutral,
disgusted,
surprised,
neutral,
fearful,
angry,
sad,
neutral,
angry,
disgusted,
angry,
fearful,
neutral,
angry,
disgusted,
surprised,
surprised,
fearful,
angry,
disgusted,
fearful,
sad,
fearful,
disgusted,
fearful,
angry,
neutral,
neutral,
fearful,
disgusted,
angry,
angry,
neutral,
fearful,
fearful,
neutral,
angry,
disgusted,
neutral,
disgusted,
neutral,
neutral,
fearful,
angry,
fearful,
surprised,
neutral,
neutral,
surprised,
fearful,
angry,
angry,
neutral,
neutral,
angry,
angry,
angry,
fearful,
angry,
disgusted,
neutral,
angry,
angry,
disgusted,
surprised,
disgusted,
angry,
neutral,
fearful,
neutral,
angry,
neutral,
disgusted,
angry,
disgusted,
angry,
neutral,
fearful,
fearful,
neutral,
angry,
disgusted,
neutral,
angry,
angry,
disgusted,
disgusted,
angry,
surprised,
disgusted,
neutral,
disgusted,
angry,
neutral,
angry,
disgusted,
disgusted,
angry,
fearful,
angry,
angry,
disgusted,
angry,
disgusted,
fearful,
neutral,
angry,
disgusted,
fearful,
neutral,
angry,
disgusted,
neutral,
disgusted,
sad,
disgusted,
fearful,
disgusted,
disgusted,
fearful,
neutral,
neutral,
neutral,
fearful,
surprised,
angry,
surprised,
disgusted,
disgusted,
disgusted,
fearful,
neutral,
disgusted,
fearful,
angry,
disgusted,
disgusted,
surprised,
disgusted,
disgusted,
fearful,
neutral,
fearful,
disgusted,
angry,
disgusted,
fearful,
disgusted,
angry,
disgusted,
fearful,
surprised,
neutral,
angry,
surprised,
angry,
disgusted,
angry,
disgusted,
angry,
sad,
disgusted,
angry,
fearful,
disgusted,
angry,
neutral,
disgusted,
angry,
disgusted,
fearful,
surprised,
neutral,
neutral,
angry,
disgusted,
fearful,
neutral,
disgusted,
neutral,
neutral,
disgusted,
surprised,
sad,
surprised,
fearful,
fearful,
fearful,
disgusted,
disgusted,
disgusted,
angry,
fearful,
disgusted,
fearful,
surprised,
disgusted,
surprised,
neutral,
angry,
angry,
surprised,
disgusted,
disgusted,
angry,
disgusted,
angry,
neutral,
angry,
disgusted,
angry,
surprised,
angry,
neutral,
angry,
angry,
angry,
angry,
disgusted,
disgusted,
angry,
angry,
angry,
angry,
disgusted,
angry,
neutral,
neutral,
disgusted,
disgusted,
angry,
neutral,
neutral,
disgusted,
angry,
angry,
angry,
neutral,
surprised,
neutral,
angry,
disgusted,
disgusted,
disgusted,
neutral,
surprised,
disgusted,
neutral,
angry,
fearful,
angry,
neutral,
disgusted,
fearful,
disgusted,
neutral,
neutral,
fearful,
neutral,
disgusted,
angry,
neutral,
angry,
fearful,
disgusted,
angry,
surprised,
surprised,
neutral,
angry,
neutral,
angry,
disgusted,
angry,
angry,
angry,
angry,
sad,
angry,
surprised,
angry,
sad,
angry,
neutral,
surprised,
angry,
disgusted,
fearful,
disgusted,
sad,
neutral,
fearful,
angry,
disgusted,
neutral,
surprised,
neutral,
angry,
neutral,
disgusted,
fearful,
neutral,
angry,
disgusted,
disgusted,
surprised,
fearful,
neutral,
angry,
angry,
neutral,
neutral,
neutral,
disgusted,
disgusted,
angry,
surprised,
fearful,
angry,
fearful,
surprised,
sad,
angry,
surprised,
neutral,
angry,
disgusted,
fearful,
neutral,
angry,
fearful,
disgusted,
fearful,
disgusted,
angry,
disgusted,
angry,
surprised,
surprised,
neutral,
disgusted,
fearful,
fearful,
angry,
fearful,
angry,
neutral,
angry,
disgusted,
disgusted,
fearful,
disgusted,
angry,
angry,
surprised,
disgusted,
angry,
angry,
surprised,
disgusted,
neutral,
fearful,
disgusted,
surprised,
disgusted,
angry,
angry,
neutral,
surprised,
angry,
angry,
angry,
angry,
disgusted,
fearful,
neutral,
neutral,
surprised,
angry,
disgusted,
angry,
neutral,
angry,
angry,
angry,
angry,
angry,
disgusted,
disgusted,
angry,
fearful,
angry,
fearful,
angry,
fearful,
fearful,
disgusted,
neutral,
neutral,
surprised,
angry,
neutral,
angry,
angry,
angry,
angry,
neutral,
angry,
angry,
disgusted,
fearful,
disgusted,
surprised,
angry,
disgusted,
disgusted,
disgusted,
disgusted,
neutral,
fearful,
disgusted,
neutral,
disgusted,
fearful,
surprised,
fearful,
neutral,
angry,
neutral,
sad,
fearful,
disgusted,
angry,
disgusted,
fearful,
disgusted,
angry,
angry,
angry,
surprised,
angry,
surprised,
disgusted,
surprised,
neutral,
disgusted,
surprised,
surprised,
disgusted,
fearful,
neutral,
disgusted,
disgusted,
disgusted,
disgusted,
neutral,
angry,
disgusted,
disgusted,
disgusted,
angry,
surprised,
angry,
surprised,
disgusted,
fearful,
disgusted,
surprised,
fearful,
disgusted,
disgusted,
sad,
surprised,
angry,
surprised,
angry,
surprised,
disgusted,
fearful,
fearful,
disgusted,
angry,
angry,
neutral,
fearful,
disgusted,
neutral,
angry,
neutral,
surprised,
disgusted,
angry,
angry,
neutral,
angry,
fearful,
sad,
surprised,
surprised,
disgusted,
angry,
neutral,
angry,
neutral,
disgusted,
neutral,
angry,
angry,
angry,
neutral,
angry,
disgusted,
sad,
fearful,
angry,
angry,
disgusted,
neutral,
neutral,
disgusted,
surprised,
angry,
disgusted,
disgusted,
angry,
disgusted,
disgusted,
neutral,
neutral,
neutral,
angry,
disgusted,
angry,
sad,
neutral,
neutral,
angry,
angry,
fearful,
neutral,
neutral,
neutral,
fearful,
angry,
fearful,
surprised,
angry,
angry,
fearful,
angry,
sad,
angry,
fearful,
neutral,
angry,
sad,
angry,
disgusted,
angry,
surprised,
angry,
disgusted,
angry,
angry,
angry,
angry,
surprised,
angry,
angry,
angry,
angry,
neutral,
angry,
angry,
neutral,
fearful,
surprised,
fearful,
fearful,
disgusted,
angry,
disgusted,
fearful,
disgusted,
angry,
neutral,
angry,
angry,
angry,
disgusted,
neutral,
disgusted,
disgusted,
surprised,
neutral,
disgusted,
disgusted,
neutral,
surprised,
angry,
disgusted,
surprised,
angry,
surprised,
surprised,
fearful,
surprised,
disgusted,
angry,
surprised,
neutral,
angry,
fearful,
surprised,
surprised,
angry,
neutral,
disgusted,
surprised,
angry,
neutral,
angry,
neutral,
surprised,
neutral,
fearful,
angry,
angry,
angry,
disgusted,
surprised,
angry,
angry,
disgusted,
angry,
surprised,
disgusted,
fearful,
surprised,
angry,
neutral,
neutral,
disgusted,
disgusted,
disgusted,
disgusted,
neutral,
surprised,
neutral,
angry,
disgusted,
disgusted,
surprised,
fearful,
disgusted,
neutral,
surprised,
disgusted,
angry,
fearful,
neutral,
sad,
disgusted,
disgusted,
angry,
disgusted,
fearful,
fearful,
angry,
neutral,
surprised,
fearful,
disgusted,
disgusted,
fearful,
neutral,
surprised,
fearful,
fearful,
angry,
angry,
angry,
disgusted,
angry,
neutral,
angry,
surprised,
angry,
neutral,
disgusted,
angry,
neutral,
disgusted,
angry,
fearful,
surprised,
surprised,
surprised,
neutral,
surprised,
disgusted,
angry,
angry,
disgusted,
surprised,
fearful,
angry,
disgusted,
angry,
angry,
disgusted,
surprised,
angry,
angry,
disgusted,
fearful,
disgusted,
angry,
disgusted,
angry,
disgusted,
disgusted,
angry,
neutral,
neutral,
surprised,
angry,
disgusted,
angry,
angry,
sad,
disgusted,
neutral,
angry,
disgusted,
surprised,
angry,
neutral,
disgusted,
disgusted,
angry,
surprised,
disgusted,
neutral,
angry,
disgusted,
disgusted,
angry,
angry,
disgusted,
disgusted,
disgusted,
disgusted,
neutral,
disgusted,
angry,
fearful,
disgusted,
fearful,
surprised,
angry,
disgusted,
neutral,
angry,
surprised,
fearful,
surprised,
angry,
fearful,
angry,
angry,
neutral,
surprised,
angry,
disgusted,
fearful,
disgusted,
disgusted,
surprised,
fearful,
angry,
fearful,
fearful,
angry,
disgusted,
fearful,
surprised,
neutral,
disgusted,
fearful,
disgusted,
angry,
neutral,
angry,
disgusted,
disgusted,
disgusted,
neutral,
angry,
neutral,
disgusted,
disgusted,
surprised,
angry,
neutral,
angry,
disgusted,
surprised,
fearful,
surprised,
neutral,
angry,
neutral,
surprised,
angry,
neutral,
neutral,
disgusted,
disgusted,
angry,
neutral,
angry,
disgusted,
angry,
surprised,
angry,
surprised,
fearful,
surprised,
fearful,
surprised,
neutral,
fearful,
angry,
neutral,
sad,
disgusted,
angry,
neutral,
sad,
disgusted,
neutral,
fearful,
neutral,
neutral,
angry,
fearful,
neutral,
angry,
fearful,
neutral,
angry,
disgusted,
neutral,
angry,
angry,
disgusted,
fearful,
neutral,
disgusted,
fearful,
fearful,
neutral,
disgusted,
fearful,
neutral,
angry,
disgusted,
neutral,
angry,
sad,
neutral,
fearful,
surprised,
angry,
neutral,
angry,
disgusted,
surprised,
neutral,
angry,
angry,
angry,
disgusted,
fearful,
neutral,
angry,
angry,
disgusted,
fearful,
angry,
disgusted,
fearful,
surprised,
neutral,
angry,
angry,
surprised,
angry,
surprised,
disgusted,
neutral,
neutral,
fearful,
surprised,
fearful,
angry,
fearful,
neutral,
disgusted,
neutral,
disgusted,
angry,
disgusted,
surprised,
disgusted,
fearful,
angry,
neutral,
disgusted,
angry,
disgusted,
angry,
disgusted,
fearful,
angry,
neutral,
neutral,
disgusted,
sad,
neutral,
angry,
angry,
angry,
neutral,
neutral,
neutral,
disgusted,
angry,
angry,
fearful,
disgusted,
fearful,
disgusted,
angry,
angry,
neutral,
neutral,
fearful,
angry,
angry,
neutral,
disgusted,
neutral,
sad,
disgusted,
disgusted,
disgusted,
disgusted,
angry,
neutral,
surprised,
disgusted,
disgusted,
fearful,
angry,
fearful,
neutral,
disgusted,
fearful,
disgusted,
angry,
angry,
disgusted,
disgusted,
angry,
disgusted,
disgusted,
disgusted,
surprised,
angry,
angry,
angry,
disgusted,
angry,
disgusted,
fearful,
fearful,
angry,
angry,
neutral,
neutral,
neutral,
angry,
neutral,
angry,
angry,
neutral,
angry,
disgusted,
fearful,
surprised,
surprised,
disgusted,
disgusted,
angry,
fearful,
neutral,
fearful,
angry,
disgusted,
disgusted,
neutral,
angry,
neutral,
disgusted,
disgusted,
neutral,
fearful,
angry,
disgusted,
neutral,
fearful,
neutral,
angry,
fearful,
fearful,
fearful,
surprised,
fearful,
surprised,
angry,
angry,
neutral,
neutral,
disgusted,
neutral,
fearful,
neutral,
neutral,
angry,
disgusted,
angry,
angry,
surprised,
disgusted,
disgusted,
fearful,
disgusted,
surprised,
neutral,
neutral,
disgusted,
sad,
disgusted,
fearful,
neutral,
angry,
surprised,
angry,
disgusted,
fearful,
angry,
surprised,
neutral,
disgusted,
surprised,
angry,
angry,
angry,
angry,
neutral,
angry,
surprised,
disgusted,
disgusted,
surprised,
surprised,
surprised,
fearful,
fearful,
neutral,
angry,
neutral,
fearful,
surprised,
fearful,
disgusted,
neutral,
disgusted,
disgusted,
neutral,
angry,
disgusted,
disgusted,
fearful,
fearful,
disgusted,
fearful,
surprised,
disgusted,
disgusted,
fearful,
angry,
angry,
surprised,
angry,
disgusted,
disgusted,
fearful,
angry,
neutral,
disgusted,
neutral,
disgusted,
disgusted,
fearful,
fearful,
neutral,
angry,
fearful,
neutral,
angry,
surprised,
disgusted,
angry,
neutral,
angry,
angry,
disgusted,
angry,
disgusted,
angry,
sad,
disgusted,
disgusted,
fearful,
neutral,
angry,
neutral,
neutral,
fearful,
angry,
fearful,
disgusted,
fearful,
fearful,
fearful,
disgusted,
angry,
surprised,
angry,
fearful,
angry,
surprised,
angry,
angry,
neutral,
disgusted,
fearful,
disgusted,
disgusted,
disgusted,
neutral,
disgusted,
angry,
neutral,
fearful,
disgusted,
angry,
angry,
neutral,
fearful,
surprised,
surprised,
angry,
angry,
surprised,
neutral,
disgusted,
angry,
angry,
surprised,
disgusted,
disgusted,
disgusted,
fearful,
disgusted,
angry,
surprised,
angry,
surprised,
angry,
disgusted,
angry,
angry,
angry,
neutral,
neutral,
angry,
angry,
fearful,
angry,
angry,
disgusted,
angry,
angry,
neutral,
surprised,
surprised,
neutral,
angry,
surprised,
fearful,
angry,
disgusted,
angry,
disgusted,
angry,
surprised,
neutral,
neutral,
angry,
neutral,
angry,
surprised,
fearful,
surprised,
surprised,
angry,
fearful,
sad,
angry,
angry,
surprised,
disgusted,
angry,
angry,
neutral,
disgusted,
angry,
disgusted,
angry,
angry,
disgusted,
disgusted,
angry,
angry,
angry,
disgusted,
fearful,
fearful,
sad,
disgusted,
fearful,
disgusted,
angry,
angry,
angry,
fearful,
fearful,
surprised,
fearful,
surprised,
disgusted,
fearful,
disgusted,
angry,
fearful,
angry,
angry,
angry,
angry,
disgusted,
neutral,
fearful,
fearful,
fearful,
angry,
angry,
fearful,
disgusted,
disgusted,
neutral,
disgusted,
disgusted,
disgusted,
fearful,
disgusted,
angry,
surprised,
neutral,
angry,
fearful,
disgusted,
disgusted,
neutral,
disgusted,
disgusted,
angry,
disgusted,
neutral,
disgusted,
fearful,
angry,
angry,
fearful,
angry,
surprised,
disgusted,
fearful,
angry,
angry,
neutral,
angry,
angry,
neutral,
neutral,
neutral,
disgusted,
neutral,
neutral,
surprised,
disgusted,
fearful,
fearful,
disgusted,
angry,
angry,
neutral,
angry,
disgusted,
angry,
neutral,
fearful,
neutral,
angry,
angry,
sad,
neutral,
neutral,
fearful,
disgusted,
neutral,
surprised,
disgusted,
neutral,
surprised,
angry,
sad,
neutral,
fearful,
neutral,
neutral,
disgusted,
sad,
neutral,
disgusted,
angry,
disgusted,
disgusted,
angry,
surprised,
angry,
angry,
angry,
neutral,
disgusted,
angry,
disgusted,
angry,
angry,
disgusted,
surprised,
fearful,
angry,
angry,
angry,
angry,
neutral,
angry,
fearful,
angry,
surprised,
neutral,
fearful,
neutral,
disgusted,
disgusted,
fearful,
angry,
disgusted,
surprised,
surprised,
angry,
disgusted,
surprised,
surprised,
angry,
fearful,
angry,
neutral,
surprised,
neutral,
disgusted,
angry,
angry,
disgusted,
fearful,
angry,
fearful,
disgusted,
angry,
neutral,
disgusted,
neutral,
disgusted,
neutral,
disgusted,
surprised,
angry,
angry,
fearful,
sad,
angry,
disgusted,
disgusted,
disgusted,
fearful,
neutral,
angry,
fearful,
disgusted,
angry,
disgusted,
angry,
angry,
angry,
disgusted,
disgusted,
angry,
neutral,
surprised,
angry,
surprised,
surprised,
disgusted,
neutral,
angry,
angry,
fearful,
neutral,
disgusted,
neutral,
angry,
disgusted,
disgusted,
disgusted,
disgusted,
angry,
surprised,
disgusted,
angry,
sad,
disgusted,
angry,
fearful,
angry,
angry,
disgusted,
neutral,
neutral,
angry,
angry,
angry,
angry,
angry,
disgusted,
angry,
fearful,
angry,
neutral,
angry,
angry,
fearful,
surprised,
angry,
angry,
angry,
surprised,
fearful,
neutral,
angry,
neutral,
fearful,
disgusted,
angry,
disgusted,
disgusted,
angry,
disgusted,
neutral,
disgusted,
angry,
fearful,
angry,
neutral,
disgusted,
disgusted,
angry,
neutral,
angry,
fearful,
neutral,
disgusted,
fearful,
angry,
surprised,
surprised,
angry,
disgusted,
neutral,
sad,
neutral,
disgusted,
disgusted,
neutral,
surprised,
angry,
neutral,
angry,
angry,
neutral,
angry,
neutral,
fearful,
neutral,
angry,
neutral,
disgusted,
surprised,
disgusted,
neutral,
angry,
disgusted,
disgusted,
angry,
disgusted,
sad,
sad,
disgusted,
surprised,
disgusted,
fearful,
angry,
neutral,
disgusted,
fearful,
neutral,
neutral,
angry,
surprised,
neutral,
angry,
fearful,
neutral,
fearful,
neutral,
surprised,
disgusted,
angry,
angry,
surprised,
fearful,
angry,
fearful,
disgusted,
surprised,
fearful,
surprised,
disgusted,
disgusted,
angry,
disgusted,
angry,
surprised,
angry,
disgusted,
angry,
disgusted,
disgusted,
neutral,
neutral,
neutral,
neutral,
neutral,
surprised,
angry,
neutral,
disgusted,
disgusted,
disgusted,
angry,
angry,
neutral,
surprised,
disgusted,
angry,
disgusted,
disgusted,
angry,
angry,
angry,
disgusted,
fearful,
angry,
fearful,
surprised,
neutral,
fearful,
angry,
neutral,
angry,
angry,
disgusted,
angry,
disgusted,
fearful,
disgusted,
angry,
surprised,
angry,
neutral,
neutral,
angry,
angry,
angry,
surprised,
angry,
fearful,
angry,
fearful,
angry,
disgusted,
neutral,
angry,
angry,
neutral,
angry,
fearful,
fearful,
neutral,
fearful,
neutral,
surprised,
disgusted,
angry,
angry,
disgusted,
angry,
neutral,
angry,
fearful,
neutral,
surprised,
angry,
surprised,
disgusted,
angry,
disgusted,
surprised,
angry,
surprised,
disgusted,
fearful,
angry,
angry,
angry,
neutral,
neutral,
neutral,
disgusted,
angry,
surprised,
fearful,
fearful,
fearful,
disgusted,
angry,
disgusted,
surprised,
angry,
fearful,
disgusted,
disgusted,
angry,
disgusted,
disgusted,
angry,
fearful,
surprised,
fearful,
disgusted,
surprised,
neutral,
angry,
angry,
angry,
disgusted,
angry,
neutral,
angry,
disgusted,
fearful,
neutral,
neutral,
neutral,
angry,
angry,
neutral,
disgusted,
angry,
neutral,
neutral,
angry,
angry,
surprised,
angry,
disgusted,
neutral,
angry,
disgusted,
angry,
neutral,
disgusted,
angry,
angry,
disgusted,
disgusted,
angry,
neutral,
angry,
angry,
neutral,
disgusted,
angry,
disgusted,
disgusted,
surprised,
surprised,
fearful,
fearful,
disgusted,
neutral,
neutral,
fearful,
angry,
angry,
fearful,
angry,
neutral,
fearful,
angry,
neutral,
angry,
neutral,
angry,
surprised,
fearful,
angry,
neutral,
fearful,
surprised,
disgusted,
surprised,
surprised,
angry,
disgusted,
angry,
angry,
surprised,
surprised,
angry,
surprised,
surprised,
fearful,
neutral,
angry,
neutral,
disgusted,
angry,
disgusted,
fearful,
fearful,
surprised,
fearful,
fearful,
angry,
fearful,
fearful,
angry,
angry,
angry,
angry,
fearful,
angry,
angry,
disgusted,
surprised,
disgusted,
fearful,
angry,
angry,
disgusted,
disgusted,
neutral,
angry,
surprised,
fearful,
angry,
neutral,
angry,
fearful,
disgusted,
disgusted,
angry,
fearful,
angry,
angry,
angry,
neutral,
angry,
neutral,
surprised,
angry,
angry,
disgusted,
neutral,
angry,
neutral,
neutral,
angry,
angry,
angry,
surprised,
angry,
neutral,
fearful,
angry,
neutral,
disgusted,
neutral,
disgusted,
fearful,
neutral,
neutral,
fearful,
angry,
disgusted,
angry,
surprised,
fearful,
neutral,
disgusted,
surprised,
angry,
angry,
angry,
neutral,
fearful,
angry,
fearful,
neutral,
disgusted,
fearful,
disgusted,
disgusted,
angry,
surprised,
angry,
angry,
neutral,
neutral,
